GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
khaddem,tn.esprit.spring.khaddem.services,EtudiantServiceImpl,198,0,2,0,35,0,15,0,14,0
khaddem,tn.esprit.spring.khaddem.services,EquipeServiceImpl,262,0,28,0,49,0,21,0,7,0
khaddem,tn.esprit.spring.khaddem.services,DepartementServiceImpl,24,14,0,0,5,4,3,3,3,3
khaddem,tn.esprit.spring.khaddem.services,ContratServiceImpl,556,0,22,0,91,0,23,0,12,0
khaddem,tn.esprit.spring.khaddem.services,UniversiteServiceImpl,75,0,0,0,14,0,7,0,7,0
khaddem,tn.esprit.spring.khaddem.controllers,EquipeRestController,35,0,0,0,10,0,6,0,6,0
khaddem,tn.esprit.spring.khaddem.controllers,DepartementRestController,35,0,0,0,10,0,6,0,6,0
khaddem,tn.esprit.spring.khaddem.controllers,UniversiteRestController,34,0,0,0,10,0,6,0,6,0
khaddem,tn.esprit.spring.khaddem.controllers,ContratRestController,56,0,0,0,14,0,9,0,9,0
khaddem,tn.esprit.spring.khaddem.controllers,EtudiantRestController,72,0,0,0,19,0,13,0,13,0
khaddem,tn.esprit.spring.khaddem.entities,Equipe.EquipeBuilder,74,0,0,0,1,0,8,0,8,0
khaddem,tn.esprit.spring.khaddem.entities,Universite,36,0,0,0,6,0,8,0,8,0
khaddem,tn.esprit.spring.khaddem.entities,Departement,22,14,0,0,3,3,4,4,4,4
khaddem,tn.esprit.spring.khaddem.entities,Etudiant,122,0,0,0,33,0,17,0,17,0
khaddem,tn.esprit.spring.khaddem.entities,Equipe,60,0,0,0,9,0,13,0,13,0
khaddem,tn.esprit.spring.khaddem.entities,Option,44,0,0,0,2,0,1,0,1,0
khaddem,tn.esprit.spring.khaddem.entities,Contrat,118,0,0,0,33,0,17,0,17,0
khaddem,tn.esprit.spring.khaddem.entities,DetailEquipe,46,0,0,0,7,0,10,0,10,0
khaddem,tn.esprit.spring.khaddem.entities,Niveau,34,0,0,0,2,0,1,0,1,0
khaddem,tn.esprit.spring.khaddem.entities,Specialite,44,0,0,0,2,0,1,0,1,0
khaddem,tn.esprit.spring.khaddem,KhaddemApplication,8,0,0,0,3,0,2,0,2,0
khaddem,tn.esprit.spring.khaddem.config,PerformanceAspect,7,0,0,0,2,0,2,0,2,0
khaddem,tn.esprit.spring.khaddem.config,LoggingAspect,69,0,0,0,14,0,6,0,6,0
khaddem,tn.esprit.spring.khaddem.configuration,OpenAPIConfig,33,0,0,0,5,0,4,0,4,0
